arbres_espece,arbres_genre,com_adresse,lat,lon,species_count,rarity_norm,size_raw,size_norm,nn_dist_m,isolation_norm,conservation_score,cluster
kaki,Diospyros,,48.85580495491174,2.300302928952899,2,0.4868421052631579,14.0,0.26190476190476186,4.748563603988406,0.002706573435628764,0.3027268824102848,-1
pomifera,Maclura,6 Place Saint Pierre,48.88566917919937,2.3447140639945374,1,1.0,16.0,0.30952380952380953,72.8082087799555,0.041499025855739946,0.630577763891678,-1
terebinthus,Pistacia,1 Avenue Gordon Bennett,48.84590426389465,2.2530267667948825,1,1.0,12.0,0.21428571428571427,117.9680891738452,0.0672391323013211,0.6010107698173158,-1
atlantica,Cedrus,1 Rue George Eastman,48.82776601459065,2.3592631864343536,8,0.10197368421052633,25.0,0.5238095238095238,1072.5445968963488,0.6113260675393717,0.4547636430371442,-1
x hispanica,Platanus,,48.880337104666346,2.381291342815737,39,0.0,30.0,0.6428571428571428,10.78567075080386,0.0061475874336072486,0.19010127850586028,2
atlantica,Cedrus,,48.85437944639592,2.2986297357649716,8,0.10197368421052633,20.0,0.40476190476190477,300.5106944363037,0.17128427257465836,0.21690649524984268,-1
japonicum,Styphnolobium,,48.881465865661504,2.3836769185762616,2,0.4868421052631579,12.0,0.21428571428571427,151.77744263976723,0.0865096961176695,0.3181209154112662,-1
x hispanica,Platanus,31 Route de ceinture du Lac Daumesnil,48.832600635230804,2.410534923538474,39,0.0,28.0,0.5952380952380952,52.09673157626428,0.029693954114664817,0.1798598768910235,-1
grandiflora,Magnolia,1 Avenue Gordon Bennett,48.847281171674815,2.2519271322165757,6,0.14473684210526316,10.0,0.16666666666666666,23.59035962316758,0.013445969353630804,0.07271919627025403,3
suber subsp. Occidentalis,Quercus,1 Avenue Gordon Bennett,48.84716612498836,2.25292826534423,1,1.0,11.0,0.19047619047619044,48.16620788343782,0.027453644854370126,0.5739551189467151,1
baccata,Taxus,,48.877042696680654,2.380508435099865,4,0.23026315789473686,14.0,0.26190476190476186,458.9225807441827,0.26157545094460405,0.26731507029870877,-1
involucrata var. vilmoriniana,Davidia,Allee de Longchamp / Route de Sevres à Neuilly,48.87312360126717,2.2487684479171466,1,1.0,15.0,0.2857142857142857,22.894215209381557,0.013049182844099361,0.6083447120296402,-1
biloba,Ginkgo,28 Boulevard Jourdan,48.82295102398932,2.3374722492459696,8,0.10197368421052633,22.0,0.45238095238095233,103.96327091295471,0.05925670387940892,0.18950474745705448,-1
tulipifera,Liriodendron,Avenue Daumesnil / Esplanade Saint-Louis,48.83940515607196,2.4333744865867284,4,0.23026315789473686,30.0,0.6428571428571428,19.268335684435737,0.0109825138423899,0.3227747601519236,4
grandiflora,Magnolia,1 Avenue Gordon Bennett,48.84748765918048,2.2525338764384095,6,0.14473684210526316,10.0,0.16666666666666666,34.541516219552136,0.019687879961775522,0.07537473403717704,1
hippocastanum,Aesculus,,48.88011122661839,2.38566687472895,8,0.10197368421052633,25.0,0.5238095238095238,7.497432683091141,0.004273366396193041,0.1965011532964448,-1
minor,Ulmus,Place Saint-Gervais,48.855759637809996,2.353991516603295,1,1.0,12.0,0.21428571428571427,602.8186764673566,0.34359295826995967,0.7185818258551588,-1
sempervirens,Sequoia,28 Boulevard Jourdan,48.82202510003852,2.3362770386072533,2,0.4868421052631579,22.0,0.45238095238095233,63.06645856069416,0.0359464494223449,0.3979039044561496,-1
carpinifolia,Zelkova,3 Place Paul Painleve,48.849946473217486,2.344223855945223,3,0.3157894736842105,20.0,0.40476190476190477,135.10759117424345,0.0770082592801028,0.2980847952086141,-1
hippocastanum,Aesculus,1  Place du General Catroux,48.88233169960192,2.3102453885200793,8,0.10197368421052633,26.0,0.5476190476190477,701.480299563038,0.3998278432702366,0.3749139842091494,-1
hippocastanum,Aesculus,14 Impasse Berthaud,48.86147409766158,2.3543747057171034,8,0.10197368421052633,11.0,0.19047619047619044,898.9478351790777,0.5123798549666887,0.2708560653599054,-1
x hispanica,Platanus,31 Route de ceinture du Lac Daumesnil,48.83213592811154,2.4107051100274477,39,0.0,35.0,0.7619047619047619,0.0,0.0,0.23813309386806758,0
sylvatica,Fagus,,48.8217706919343,2.3229013014056803,11,0.06698564593301437,15.0,0.2857142857142857,1434.3807119888484,0.817564437461996,0.421363635832373,-1
fraxinifolia,Pterocarya,1 Place d'Estienne d'Orves,48.87668684927223,2.3319088954708587,6,0.14473684210526316,26.0,0.5476190476190477,1557.91950400234,0.8879787438961655,0.6068486408473077,-1
hippocastanum,Aesculus,50 Avenue Gambetta,48.86503551020094,2.400931755232685,8,0.10197368421052633,26.0,0.5476190476190477,148.33289219332227,0.08454638057353302,0.24078168338616818,-1
sylvatica,Fagus,28 Boulevard Jourdan,48.822604059870535,2.3367012201599313,11,0.06698564593301437,22.0,0.45238095238095233,103.96327091295471,0.05925670387940892,0.16965782069176882,-1
tulipifera,Liriodendron,1 Avenue Gordon Bennett,48.84650062322207,2.252267168332087,4,0.23026315789473686,22.0,0.45238095238095233,20.221657759321328,0.011525885779393471,0.24197037116390813,-1
fraxinifolia,Pterocarya,6 Place Saint Pierre,48.885301992232506,2.3427208867461027,6,0.14473684210526316,26.0,0.5476190476190477,135.22781149558386,0.07707678213360095,0.26186119711131056,-1
stenoptera,Pterocarya,1 Avenue Gordon Bennett,48.84714674672381,2.2519835357695808,1,1.0,20.0,0.40476190476190477,23.59035962316758,0.013445969353630804,0.6591607441578159,3
carpinifolia,Zelkova,Route des Tribunes,48.86254970665174,2.237898404323531,3,0.3157894736842105,16.0,0.30952380952380953,320.8017717027961,0.18284972589693277,0.3025958583943315,-1
x hispanica,Platanus,28 Boulevard Jourdan,48.822714704800305,2.338688411499106,39,0.0,25.0,0.5238095238095238,70.06348428922027,0.03993459521644007,0.15382828655542322,-1
biloba,Ginkgo,Chemin de Ceinture du lac Inferieur,48.86289330961346,2.261460571820377,8,0.10197368421052633,17.0,0.33333333333333337,52.80366930573971,0.03009689256907129,0.12645186936222594,-1
biloba,Ginkgo,28 Boulevard Jourdan,48.823128861157336,2.3387092581960562,8,0.10197368421052633,20.0,0.40476190476190477,70.06348428922027,0.03993459521644007,0.16102552373404327,-1
nigra,Betula,1 Avenue Gordon Bennett,48.84778224739848,2.2537228817251775,3,0.3157894736842105,20.0,0.40476190476190477,60.02411901274098,0.034212384957937866,0.2798778602386212,-1
x hispanica,Platanus,,48.8804042053364,2.3813826943597394,39,0.0,31.0,0.6666666666666666,9.347691035701418,0.005327971646087771,0.1998820287990249,2
giganteum,Sequoiadendron,10 Avenue des Champs Elysees,48.86697545705264,2.319515215634701,5,0.17894736842105266,19.0,0.38095238095238093,740.1590219654497,0.4218738368187906,0.35705028311355796,-1
dioica,Gymnocladus,,48.869150319994105,2.272252012873678,2,0.4868421052631579,13.0,0.2380952380952381,390.33933771806045,0.22248455963847014,0.3860990557208484,-1
